Constant,Participant,Face,Context,attract,pitch,base
1,12,8,2,3,122.43,121.45
1,12,9,2,3,139.08,121.45
1,12,10,2,4,114.07,124.42
1,12,11,2,4,114.71,124.42
1,12,12,2,4,112.58,124.42
1,12,13,2,6,152.97,128.32
1,12,14,2,4,117.51,124.42
1,12,15,2,8,111.72,127.82
1,12,16,2,3,115.97,121.45
1,12,17,2,4,115.32,124.42
1,12,18,2,4,118.21,124.42
1,12,19,2,5,109.09,123.57
1,12,20,2,5,112.69,123.57
1,12,21,2,8,112.11,127.82
1,12,22,2,6,142.73,128.32
1,12,23,2,6,118.38,128.32
1,12,24,2,6,128.24,128.32
1,12,25,2,7,130.87,123.71
1,12,26,2,6,154.32,128.32
1,12,27,2,4,118.71,124.42
1,12,28,2,8,116.76,127.82
1,12,29,2,5,127.68,123.57
1,12,30,2,4,122.08,124.42
1,12,31,2,7,121.24,123.71
1,12,32,2,7,113.64,123.71
1,13,1,1,1,104.8,111.47
1,13,2,1,2,112.11,113.35
1,13,3,1,1,108.48,111.47
1,13,4,1,5,107.74,108.51
1,13,5,1,2,112.37,113.35
1,13,6,1,1,108.74,111.47
1,13,7,1,4,112.96,117.29
1,13,8,1,1,102.32,111.47
